date | value
2023-01-01 | 1000.5
2023-02-15 | 50.0
2023-03-01 | 
2023-04-01 | abc
2023-05-01 | -10.5
2023-06-01 | 2147483648
2023-07-01 | 25.75
2023-08-01|30.0
2023-09-01 ||| 40.0
2023-10-01 | 0
2023-11-01 | 0.0
malformed line without delimiter
2023-12-01 | 15.5 | extra_field
2024-02-30 | 100.0
2024-13-01 | 200.0
1800-01-01 | 50.0
3001-01-01 | 75.0
2023/01/01 | 80.0
23-01-01 | 90.0
2023-1-1 | 95.0
2023-01-32 | 110.0
2023-02-29 | 120.0
2024-02-29 | 130.0
2023-01-15  | 150.0
2023-01-16 |  160.0  
| 170.0
date_only |
| value_only
||
   |   
2023-01-17 | 1e10
2023-01-18 | 1.7976931348623157e+308
2023-01-19 | inf
2023-01-20 | -inf
2023-01-21 | nan
2023-01-22 | 123.456.789
2023-01-23 | 1,000.50
2023-01-24 | $100.00
2023-01-25 | 100%
2023-01-26 | +50.5
1899-12-31 | 180.0
2000-02-29 | 190.0
1900-02-29 | 200.0
2100-02-29 | 210.0
2023-04-31 | 220.0
2023-06-31 | 230.0
2023-09-31 | 240.0
2023-11-31 | 250.0
